SL NO. ,FIRNO,POLICE STATION ,U/S ,DATE ,OFFENDING VEHICLE ,VICTIMS ,PLACE OF OCCURANCE,ROAD NAME,YEAR
22624,2,LAJPAT NAGAR,279/337 IPC,03-Jan-20,TEMPO,TSR,INF LAL SAI MANDIR LAJPAT NGR,RING ROAD,2020
22937,2,OKHLA,279/337 IPC,03-Jan-17,S/C&M/C,PED,T POINT TRAFFIC SIGNAL NR ESI,ANAND MAI MARG,2017
23015,2,OKHLA,279/337 IPC,01-Jan-18,UNKNOWN,TWW,OPP SAHI EXPORT NR ESI HOSPITA,ANAND MAI MARG,2018
23145,2,OKHLA,279/337 IPC,05-Jan-20,S/C&M/C,PED,NEAR CROWN PLAZA,ANAND MAI MARG,2020
23184,2,PUL PRAHLAD PUR,279/337/338 IPC,07-Jan-16,PVT CAR,TWW,INF ICD EXIT TWS BADARPUR DELH,MEHRAULI BADARPUR RD,2016
23219,2,PUL PRAHLAD PUR,279/337 IPC,01-Jan-17,S/C&M/C,SLF,NR ICD POINT BOOTH PUL PRAHLAD,ANAND MAI MARG,2017
23265,2,PUL PRAHLAD PUR,279/337 IPC,01-Jan-18,UNKNOWN,TWW,BUS STAND TKD VILL BADARPUR,MEHRAULI BADARPUR RD,2018
23739,2,SARITA VIHAR,279/337/304 A IPC,02-Jan-20,HTV/GDS,TSR,NR HP P PUMP NR MOHAN ESTATE,MATHURA ROAD,2020
25205,2,KAPASHERA,279/337 IPC,02-Jan-18,UNKNOWN,PED,NEAR PUSHPANJALI RED LIGHT,201 NO.ROAD,2018
25381,2,MOHAN GARDEN,279/337 IPC,01-Jan-19,PVT CAR,TWW,I/F OF GUPTA GENARAL STORE,MINOR ROADS,2019
25581,2,RANHOLA,279/337 IPC,02-Jan-16,UNKNOWN,TWW,NR SAI BABA MANDIR SHIV VIHAR,MINOR ROADS,2016
27809,2,MOTI NAGAR,279/337 IPC,06-Jan-18,UNKNOWN,PED,ZAKHIRA F/O TOWARDS PB,NEW ROHTAK ROAD,2018
27842,2,MOTI NAGAR,279/304 A IPC,03-Jan-19,MIN.BUS,PED,KARAMPURA BUS TERMINAL,MINOR ROADS,2019
28197,2,MUNDKA,279/337 IPC,01-Jan-19,PVT CAR,TWW,METRO PILL. 679,ROHTAK ROAD,2019
28497,2,NANGLOI,279/304 A IPC,01-Jan-19,UNKNOWN,PED,"SURAJMAL STADIUM, NANGLOI",ROHTAK ROAD,2019
28867,2,NIHAL VIHAR,279/337 IPC,01-Jan-19,UNKNOWN,PED,BALAJI BHARM KANTA NEAR BREHAR,MINOR ROADS,2019
28984,2,PASCHIM VIHAR (EAST),279/337 IPC,03-Jan-17,PVT CAR,PED,WEST METRO STATION PASCHIM VIH,ROHTAK ROAD,2017
29161,2,PASCHIM VIHAR (EAST),279/337 IPC,01-Jan-20,UNKNOWN,TWW,MULAN NAGAR,GURU GOVIND SINGH ROAD,2020
29299,2,PATEL NAGAR,279/337 IPC,03-Jan-17,PVT CAR,PED,L BLOCK CHOWK WEST PATEL NAGAR,MINOR ROADS,2017
29678,2,PUNJABI BAGH,279/337 IPC,01-Jan-20,UNKNOWN,PED,CLUB RD PUNJABI BAGH,CLUB ROAD(PBC),2020
30096,2,RANHOLA,279/337 IPC,02-Jan-18,UNKNOWN,TWW,SHAHID BHAGAT SINGH MAR,NAJAFGARH NANGLOI RD,2018
30195,2,RANJIT NAGAR,279/337 IPC,01-Jan-17,S/C&M/C,PED,SHADIPUR METRO STATION PATEL R,PATEL ROAD,2017
30217,2,RANJIT NAGAR,279/337 IPC,01-Jan-18,UNKNOWN,CAR,INF OF AYUR HOUSE,PATEL ROAD,2018
358,3,DESH BANDHU GUPTA RD,279/337 IPC,03-Jan-20,BUS OTR,TWW,NR ROHTAK OPP PREM DHABA,NEW ROHTAK ROAD,2020
1071,3,DELHI CANNT,279/337 IPC,03-Jan-16,PVT CAR,TWW,UNDER DHAULA KUAN FLYOVER RING,RING ROAD,2016
1195,3,DELHI CANNT,279/337 IPC,05-Jan-17,BUS OTR,PED,AFTER GURGAON LOOP RING RD,RING ROAD,2017
1752,3,DWARKA,279/304 A IPC,01-Jan-18,UNKNOWN,PED,NR DDA MARKET DWARKA,MINOR ROADS,2018
2610,3,I.G.I AIR PORT-I,279/304 A IPC,01-Jan-17,UNKNOWN,TWW,OPP SIDE OF ROSATE HOUSE NR AE,MINOR ROADS,2017
2638,3,PALAM VILLEGE,279/337 IPC,04-Jan-17,S/C&M/C,SLF,MN CHOWK NR MANGOLPURI,MINOR ROADS,2017
2840,3,ANAND VIHAR,279/337 IPC,01-Jan-16,PVT CAR,CAR,T POINT CAVENTER MARKET SURAJM,MINOR ROADS,2016
3202,3,GAJI PUR,279/337 IPC,07-Jan-18,UNKNOWN,PED,GAJIPUR UNDERPASS,MINOR ROADS,2018
4159,3,MADHU VIHAR,279/304 A IPC,03-Jan-17,S/C&M/C,PED,PRESS APPT NARWANA ROAD DELHI,NARWANA ROAD,2017
4229,3,MADHU VIHAR,279/304 A IPC,04-Jan-19,UNKNOWN,PED,NEAR HASANPUR DEPOT,ROAD NO 57,2019
4799,3,PANDAV NAGAR,279/337 IPC,04-Jan-16,UNKNOWN,PED,NOIDA MORE NH - 24,NH-24,2016
5495,3,BARAKHAMBA ROAD,279 IPC,11-Jan-19,PVT CAR,CAR,BARAKHAMBA ROAD NEAR RED LIGHT,BARAKHAMBA ROAD,2019
5662,3,CHANAKYA PURI,279/304 A IPC,17-Jan-20,PVT CAR,TWW,SP MARG CROSSING,SARDAR PATEL MARG,2020
5768,3,CONNAUGHT PLACE,279 IPC,11-Jan-20,PVT CAR,CAR,INF KAKE D DHABA,OUTER CIRCLE CP,2020
5938,3,NORTH AVENUE,279/337 IPC,06-Jan-16,PVT CAR,TWW,CHAMBERY DR RML HOSPITAL,MINOR ROADS,2016
5957,3,NORTH AVENUE,279/337 IPC,05-Jan-17,TAXI,TWW,PANDIT PANTH MARG CROSSING,MAHADEV ROAD,2017
5981,3,NORTH AVENUE,279/337 IPC,18-Jan-18,TAXI,TWW,INF KOTHI NO 6 GURUDWARA RAKAB,MINOR ROADS,2018
6149,3,SOUTH AVENUE,279/304 A IPC,09-Jan-18,TSR,SLF,GOLF ROAD RASHTRAPATI BHAWAN,MINOR ROADS,2018
6337,3,TILAK MARG,279/304 A IPC,15-Jan-19,BUS OTR,TWW,BHAGWAN DAS RD RED LIGHT,BHAGWAN DAS MARG,2019
6434,3,TUGLAK ROAD,279/337 IPC,13-Jan-17,S/C&M/C,TWW,INF KOTHI NO 5 SAFDARJNG RD,SAFDARJUNG ROAD,2017
6492,3,TUGLAK ROAD,279/337 IPC,07-Jan-20,UNKNOWN,TWW,SBM ZAKIR HUSAIN MARG CROSSING,SUBRAMANIAM BHARTI MG,2020
6768,3,CIVIL LINES,279/337 IPC,01-Jan-20,PVT CAR,CAR,NR TIRTHRAM HOSPITAL,COURT ROAD,2020
6915,3,GULABI BAGH,279/337 IPC,05-Jan-20,UNKNOWN,TWW,NR RAILWAY DISPENSARY,OLD ROHTAK ROAD,2020
7230,3,KASHMIRI GATE,279/337 IPC,08-Jan-20,UNKNOWN,PED,"MONKEY BRIDGE, NR HANUMAN MAND",RING ROAD BYPASS,2020
7296,3,KOTWALI,279/337 IPC,07-Jan-17,S/C&M/C,TWW,NR SUNHARI MASJID CUT RED FORT,MINOR ROADS,2017
7612,3,MAURICE NAGAR,279/337 IPC,04-Jan-18,PVT CAR,TWW,NR MARINDA COLLEGE MAURICE NAG,GURU TEGH BAHADUR RD,2018
7644,3,MAURICE NAGAR,279/337 IPC,11-Jan-19,PVT CAR,CAR,OPP. SHANKAN LAL HALL UNI,UNIVERSITY MARG,2019
7748,3,ROOP NAGAR,279/337 IPC,12-Jan-20,UNKNOWN,PED,NR SARDAR JI HATTI,GTK ROAD,2020
8248,3,TIMAR PUR,279/304 A IPC,03-Jan-18,UNKNOWN,TWW,NR NEHRU VIHAR DELHI,MINOR ROADS,2018
8301,3,TIMAR PUR,279/304 A IPC,04-Jan-19,UNKNOWN,CYC,WAZIRABAD FLYOVER TWDS ISBT,OUTER RING ROAD,2019
9053,3,KARAWAL NAGAR,279/337 IPC,03-Jan-17,PVT CAR,TWW,TRANSFORMER WALI GALI SADATPUR,MINOR ROADS,2017
9576,3,NAND NAGRI,279/337 IPC,01-Jan-18,S/C&M/C,PED,INF AMBEDKAR GATE GTB ENCLAVE,MINOR ROADS,2018
9744,3,NEW USHMAN PUR,279/304 A IPC,01-Jan-16,PVT CAR,TWW,RED LIGHT IT PARK SHASTRI PARK,GRANT TRUNK ROAD,2016
10031,3,SEELAM PUR,279/338 IPC,01-Jan-16,S/C&M/C,CAR,DHARAMPURA RED LIGHT TURN POIN,GRANT TRUNK ROAD,2016
10277,3,SEEMA PURI,279/337 IPC,01-Jan-18,PVT CAR,PED,CHINTAMANI CHOWK TWDS VIVEK VI,MINOR ROADS,2018
10500,3,SHASTRI PARK,279/337 IPC,03-Jan-19,TSR,PED,INF S PARK PETROL PUMP ISBT TO,GRANT TRUNK ROAD,2019
10847,3,ZAFRABAD,279/337 IPC,03-Jan-16,PVT CAR,PED,INF GALI NO. 17 MAIN BRAHAMPUR,MINOR ROADS,2016
11481,3,ALIPUR,279/337 IPC,03-Jan-19,PVT CAR,TWW,N/R MCD PRIMARY SCHOOL,MINOR ROADS,2019
12638,3,JAHANGIR PURI,279/337 IPC,04-Jan-18,CRANE,PED,INF HNO E-1216 JAHANGIR PURI,MINOR ROADS,2018
15268,3,BEGUM PUR,279/337/304 A IPC,05-Jan-19,UNKNOWN,TWW,BEFORE DEEP VHR PASALI R/L,RITHALA ROAD,2019
15381,3,BEGUM PUR,279/337 IPC,01-Jan-18,GRM.SEW,TWW,DEEP VIHAR CHOWK RITHALA SEC 2,MINOR ROADS,2018
15424,3,BEGUM PUR,279/304 A IPC,02-Jan-20,UNKNOWN,PED,"NR BOB SEC-24, ROHINI",MINOR ROADS,2020
15447,3,BEGUM PUR,279/338 IPC,01-Jan-17,S/C&M/C,TWW,NR DURGA MANDIR RAM AVIHAR DEL,MINOR ROADS,2017
15501,3,K.N.KATJU MARG,279/337 IPC,01-Jan-16,UNKNOWN,PED,G3S RED LIGHT T POINT KNK MARG,MINOR ROADS,2016
16009,3,MANGOL PURI,279/337 IPC,01-Jan-17,S/C&M/C,TWW,INF CNG PUMP NR MANGOLPURI FLY,OUTER RING ROAD,2017
16174,3,MANGOL PURI,279/304 A IPC,02-Jan-19,UNKNOWN,TWW,"NR KALI MATA MANDIR, MANGOLPUR",OUTER RING ROAD,2019
17340,3,SHAHBAD DAIRY,279/337/304 A IPC,01-Jan-18,HTV/GDS,TWW,NR HANUMAN MANDIR SEC 39 ROHIN,RITHALA ROAD,2018
17797,3,SULTAN PURI,279/337 IPC,02-Jan-19,S/C&M/C,PED,I/F JAYEKA HOTEL KANJHAWALA BU,MINOR ROADS,2019
18091,3,FATEHPUR BERI,279/337/304 A IPC,02-Jan-16,PVT CAR,SLF,NR POLICE BOOTH DERA MANDI,MINOR ROADS,2016
18515,3,HAUZ KHAS,279/337/304 A IPC,02-Jan-18,S/C&M/C,CYR,TWDS PANCHSHEL FLYOVER OUTER R,OUTER RING ROAD,2018
18648,3,HAZRAT NIZAMUDDIN,279/337 IPC,07-Jan-17,PVT CAR,PED,LODHI FLYOVER LALA LAJPAT RAI,LODI ROAD,2017
18806,3,KOTLA MUBARAK PUR,279/337 IPC,04-Jan-17,PVT CAR,PED,INF J-42 SOUTH EX-1 NEW DLEHI,MINOR ROADS,2017
19150,3,LODHI COLONY,279/337 IPC,04-Jan-20,PVT CAR,TWW,INF JLN STADIUM GATE NO 1,BHISHM PITAMAH MARG,2020
19436,3,MEHRAULI,279/337 IPC,02-Jan-20,UNKNOWN,PED,100 FOOTA RD CHHATARPUR,MINOR ROADS,2020
19523,3,R.K. PURAM,279/337 IPC,02-Jan-16,UNKNOWN,CYC,UNDER BHIKAJ ICAMA FLYOVER RIN,RING ROAD,2016
19687,3,R.K. PURAM,279/304 A IPC,02-Jan-19,UNKNOWN,PED,"INF FIRE BRIGDE,RK. PURAM",VIVEKA NAND MARG,2019
20363,3,VASANT KUNJ SOUTH,279/337 IPC,01-Jan-16,UNKNOWN,PED,MAHIPAL PUR FLYOVER NEW DELHI,NH-8,2016
20412,3,VASANT KUNJ SOUTH,279/337 IPC,03-Jan-17,PVT CAR,TWW,NR MASOODPUR F/O TWS MASOOD PU,MINOR ROADS,2017
20885,3,AMAR COLONY,279/337 IPC,03-Jan-19,PVT CAR,TSR,LAL SHAUCHLAYA OUTER GATE OKHL,MINOR ROADS,2019
20915,3,AMAR COLONY,279/337 IPC,04-Jan-20,UNKNOWN,PED,NR MODI MILL FLYOVER,MINOR ROADS,2020
21340,3,DR AMBEDKAR NAGAR,279/337 IPC,02-Jan-16,GRM.SEW,SLF,MAHARSHI VALMIKI MARG PUSHPA B,MINOR ROADS,2016
21467,3,DR AMBEDKAR NAGAR,279/304 A IPC,01-Jan-19,UNKNOWN,TWW,R/L MB BRT RD KHANPUR,MEHRAULI BADARPUR RD,2019
21516,3,DR AMBEDKAR NAGAR,279/337/304 A IPC,02-Jan-20,UNKNOWN,TWW,NEAR PETROL PUMP KHAN PUR,LAL BHADUR S.MARG,2020
21844,3,HAZRAT NIZAMUDDIN,279/337 IPC,03-Jan-18,PVT CAR,TWW,NR LODHI FLYOVER HAZRAT NIZAMU,MINOR ROADS,2018
22039,3,JAIT PUR,279/304 A IPC,04-Jan-18,PVT CAR,CYC,NR SHIV PURI AGRA CANAL ROAD,AGRA CANAL ROAD,2018
22319,3,KALKAJI,279/337 IPC,02-Jan-16,TANKER,TNK,PETRROL PUMP NEHRU PLACE KALKA,OUTER RING ROAD,2016
23097,3,OKHLA,279/337 IPC,02-Jan-19,UNKNOWN,PED,KALKAJI ROAD OKHLA I.A,ANAND MAI MARG,2019
23337,3,PUL PRAHLAD PUR,279/304 A IPC,03-Jan-20,UNKNOWN,PED,KUDA GHAR PUL PEHLADPUR MB ROA,MEHRAULI BADARPUR RD,2020
23406,3,SANGAM VIHAR,279/337 IPC,01-Jan-16,TSR,PED,NR TINU PUBLIC SCHOOL SANGAM V,MINOR ROADS,2016
23607,3,SARITA VIHAR,279/337 IPC,12-Jan-17,PVT CAR,TWW,MOHAN ESTATE METRO STN RED LIG,MATHURA ROAD,2017
23849,3,SHAHEEN BAGH,279/304 A IPC,08-Jan-19,UNKNOWN,PED,I/F OF BATA SHOW ROOM,13 NO ROAD,2019
24358,3,BABA HARIDAS NAGAR,279/304 A IPC,03-Jan-19,BUS O S,PED,INF DK CNG PARTS REPAIRING W/S,NAJAF GARH ROAD,2019
24606,3,CHHAWALA,279/337 IPC,02-Jan-17,TAXI,POV,NR NEW HIGHWAY CHHAWLA TAJPUR,CHHAWLA ROAD,2017
24832,3,DWARKA,279/337 IPC,02-Jan-16,PVT CAR,TWW,NALA RD NR DHUL SIRS PICKET,MINOR ROADS,2016
25043,3,KAPASHERA,279/338 IPC,05-Jan-16,UNKNOWN,PED,NR TELEPHONE EXCHANGE INF PNB,BIJWASAN ROAD,2016
25588,3,RANHOLA,279/338 IPC,02-Jan-17,S/C&M/C,TWW,NR RAJDHANI PUBLIC SCL VIKAS N,MINOR ROADS,2017
26423,3,ANAND PARBAT,279/337 IPC,09-Jan-20,MIN.BUS,TWW,IN B/W STREET NO 4 AND 5 INDL,NEW ROHTAK ROAD,2020
26713,3,DELHI CANNT,279/304 A IPC,03-Jan-19,UNKNOWN,PED,DELHI CANTT METRO STN,RING ROAD,2019
26730,3,DELHI CANNT,279/304 A IPC,05-Jan-20,UNKNOWN,PED,NR SUBWAY RING RD,RING ROAD,2020
28281,3,MUNDKA,279/337 IPC,04-Jan-20,HTV/GDS,TWW,LOKNAYAK BAKARAWALA,MINOR ROADS,2020
28380,3,NANGLOI,279/337 IPC,04-Jan-17,S/C&M/C,PED,INF VISHAL MEGA MART NANGLOI,ROHTAK ROAD,2017
28498,3,NANGLOI,279/337 IPC,03-Jan-19,HTV/GDS,CAR,METRO PILLAR NO.479 ROHTAK ROA,ROHTAK ROAD,2019
28701,3,NARAINA,279/304 A IPC,02-Jan-20,TSR,PED,ON NARAINA FLYOVER,RING ROAD,2020
29265,3,PASCHIM VIHAR (WEST),279/337 IPC,04-Jan-19,PVT CAR,TWW,N/R FLY OVER MEERA BAGH,MINOR ROADS,2019
29517,3,PUNJABI BAGH,279/337 IPC,01-Jan-18,UNKNOWN,PED,NR METRO STN MADIPUR,ROHTAK ROAD,2018
29773,3,PUNJABI BAGH,279/304 A IPC,01-Jan-20,UNKNOWN,PED,INF SHAMSHAN GHAT,RING ROAD,2020
30319,3,SAGAR PUR,279/337 IPC,01-Jan-19,HTV/GDS,PED,NASIRPUR RD NR BHARATGHAR,MINOR ROADS,2019
128,4,DARYA GANJ,279/337 IPC,06-Jan-18,DTC BUS,TWW,DELHI GATE RED LIGHT DARYA GAN,JAWAR LAL NEHRU RD,2018
335,4,DESH BANDHU GUPTA RD,279/337 IPC,07-Jan-19,UNKNOWN,TWW,GANGESHWAR DHAM ROAD,MINOR ROADS,2019
653,4,KAMLA MARKET,279/337 IPC,11-Jan-17,PVT CAR,PED,GB ROAD KAMLA MKT,GB ROAD,2017
695,4,KAMLA MARKET,279/337/304 A IPC,02-Jan-20,UNKNOWN,PED,NEAR BUS STAND ZAKIR HUSAIN CO,JAWAR LAL NEHRU RD,2020
1072,4,DELHI CANNT,279/304 A IPC,04-Jan-16,HTV/GDS,PED,NR GOLF CLUB DHAULA KUAN,STATION ROAD,2016
1488,4,DELHI CANNT,279/337 IPC,06-Jan-20,TAXI,SLF,NR SUBROTO PARK,RAO TULA RAM MARG,2020
1753,4,DWARKA,279/337 IPC,04-Jan-18,UNKNOWN,TWW,NR UNDERPAAS DWARKA SEC 21,MINOR ROADS,2018
1987,4,DWARKA NORTH,279/337 IPC,05-Jan-17,UNKNOWN,PED,NR DPS BUS STAND,MINOR ROADS,2017
2312,4,DWARKA SOUTH,279/338 IPC,02-Jan-17,PVT CAR,TWW,NR RAMPHAL CHOWK,MINOR ROADS,2017
2699,4,VASANT KUNJ NORTH,279/337 IPC,04-Jan-17,PVT CAR,PED,NR LANDING PKT TWDS DHAULA KUA,NH-8,2017
3203,4,GAJI PUR,279/337 IPC,07-Jan-18,PVT CAR,PED,"INF OF FLATS NO B-4/B-6, M V",MINOR ROADS,2018
3256,4,GAJI PUR,279/337 IPC,02-Jan-19,TAXI,TSR,NR SHAMSHANGHAT GAJIPUR,ROAD NO 56,2019
3328,4,GAJI PUR,279/304 A IPC,06-Jan-17,UNKNOWN,TWW,NR GAJIPUR F/O NR CBSC OFFIC,MINOR ROADS,2017
3446,4,GANDHI NAGAR,279/304 A IPC,07-Jan-19,UNKNOWN,TWW,NR FOB GANDHI NAGR,MINOR ROADS,2019
3457,4,GEETA COLONY,279/337 IPC,03-Jan-16,DELIVRY,TWW,INF PUSTA RD BUS STAND NR TAJ,MINOR ROADS,2016
3903,4,KRISHNA NAGAR,279/337 IPC,02-Jan-19,TRACTOR,TWW,"NR DENTAL CLINIC , VIJAY",MINOR ROADS,2019
4777,4,NEW ASHOK NAGAR,279/337 IPC,05-Jan-20,ERCAW,TWW,DALLUPURA CHOWK PULIYA,MINOR ROADS,2020
4907,4,PANDAV NAGAR,279/337 IPC,07-Jan-18,CTR BUS,TWW,13 BLOCK DTC BUS STAND KATLA R,MINOR ROADS,2018
5583,4,CHANAKYA PURI,279/337 IPC,08-Jan-18,PVT CAR,PED,INF KOTHI NO 3 NAYA MARG CHANA,MINOR ROADS,2018
5982,4,NORTH AVENUE,279/337 IPC,18-Jan-18,S/C&M/C,PED,NR RML HOSPITAL BUS STOP,TALKATORA ROAD,2018
6005,4,NORTH AVENUE,279/337 IPC,24-Jan-20,PVT CAR,TWW,PANDIT PANT MARG,MAHADEV ROAD,2020
6128,4,PARLIAMENT STREET,279/337 IPC,11-Jan-19,PVT CAR,CAR,NR INDIRAKALAN KENDRA,JANPATH,2019
6159,4,SOUTH AVENUE,279/337 IPC,22-Mar-20,UNKNOWN,TWW,INF BHARATIYA PURATATVA MAULAN,MINOR ROADS,2020
6306,4,TILAK MARG,279/337 IPC,06-Jan-18,UNKNOWN,TWW,BHAIRON ROAD RING ROAD T POINT,RING ROAD,2018
6461,4,TUGLAK ROAD,279 IPC,15-Jan-18,PVT CAR,CAR,"INF OF KOTHI- 1, AKBAR ROAD",AKBAR ROAD,2018
6666,4,CIVIL LINES,279/304 A IPC,02-Jan-18,TRL/CON,TWW,RED LIGHT GURUDWARA MAJNU KA T,OUTER RING ROAD,2018
6769,4,CIVIL LINES,279/337 IPC,02-Jan-20,PVT CAR,PED,INF VIKAS BHAWAN,MINOR ROADS,2020
7506,4,LAHORI GATE,279/304 A IPC,06-Jan-17,UNKNOWN,PED,INF RAILWAY HOSPITAL SPM MARG,SPM MARG,2017
7613,4,MAURICE NAGAR,279/337 IPC,05-Jan-18,PVT CAR,HTV,SBI ATM MIRANDA HOUSE COLLEGE,GURU TEGH BAHADUR RD,2018
7667,4,MAURICE NAGAR,279/337 IPC,15-Jan-20,PVT CAR,PED,BUS STOP MALL ROAD RING ROAD,RIDGE ROAD,2020
7735,4,ROOP NAGAR,279/337/304 A IPC,10-Jan-19,HTV/GDS,TSR,"INF SHOP NO 7706, GHANTA GHAR",ROSHANARA ROAD,2019
7882,4,SARAI ROHILA,279/304 A IPC,01-Jan-16,UNKNOWN,CYC,NR SHASHTRI NGR RED LIGHT CHOW,MINOR ROADS,2016
8249,4,TIMAR PUR,279/337 IPC,05-Jan-18,BUS OTR,TWW,NR CHURCH MAJNU KA TILA,OUTER RING ROAD,2018
8831,4,GTB ENCLAVE,279/337 IPC,03-Jan-20,PVT CAR,CAR,R/L OPP JHILMIL METRO STN,GRANT TRUNK ROAD,2020
9309,4,KHAZOORI,279/337 IPC,01-Jan-19,TSR,SLF,I/F OF PTS WAZIRABAD GATE,PUSTA ROAD,2019
10278,4,SEEMA PURI,279/337/304 A IPC,02-Jan-18,HTV/GDS,TWW,RED LIGHT CHINTAMANI RESTAURAN,MINOR ROADS,2018
10890,4,ADARSH NAGAR,279 IPC,02-Jan-16,TEMPO,CAR,AZADPUR CHOWK RED LIGHT,MINOR ROADS,2016
11279,4,ALIPUR,279/337 IPC,03-Jan-17,HTV/GDS,CAR,NR YADU GREEN RESORT ALIPUR,GTK ROAD,2017
13229,4,MODEL TOWN,279/337 IPC,07-Jan-19,PVT CAR,PED,INF TELIPHONE EXCHANGE,GTK ROAD,2019
14394,4,SWAROOP NAGAR,279/304 A IPC,01-Jan-16,UNKNOWN,TWW,UNDER PASS NANGLI POONA,GTK ROAD,2016
14497,4,SWAROOP NAGAR,279/338 IPC,03-Jan-18,TEMPO,PED,GALI NO 14 BHATTA SWAROOP NGR,MINOR ROADS,2018
16351,4,MAURYA ENCLAVE,279/338 IPC,03-Jan-18,PVT CAR,TWW,NR RED LIGHT DISTT PARK,MINOR ROADS,2018
16471,4,NARELA (IND. AREA),279/304 A IPC,02-Jan-20,UNKNOWN,TWW,TWDS CHHOTI HOLAMBI NIA,MINOR ROADS,2020
17039,4,SAMAY PUR BADLI,279/337/304 A IPC,02-Jan-16,PVT CAR,TWW,RAILWAY PHATAK TO KHERA KHURD,MINOR ROADS,2016
17962,4,DEFENCE COLONY,279/337/338 IPC,12-Jan-19,PVT CAR,TWW,I/F A-66 BASTI RD. D. COLONY,MINOR ROADS,2019
17977,4,DEFENCE COLONY,279/338 IPC,10-Jan-20,PVT CAR,TWW,D BLOCK DEFENCE COLONY,MINOR ROADS,2020
18335,4,FATEHPUR BERI,279/304 A IPC,02-Jan-19,UNKNOWN,TWW,GHITORNI METRO STATION,MEHRAULI GURGAON RD,2019
18603,4,HAUZ KHAS,279/337 IPC,04-Jan-20,PVT CAR,TWW,SHAHPUR JAT RED LIGHT,MINOR ROADS,2020
19524,4,R.K. PURAM,279/337 IPC,02-Jan-16,PVT CAR,TWW,INF ANI OFFICE SEC 9 RK PURAM,TAMIL SANGAM ROAD,2016
20164,4,SAROJNI NAGAR,279/337/304 A IPC,06-Jan-18,S/C&M/C,SLF,GOL CHAKKAR LAXMI BAI NAGAR,BRIG HOSHIAR SINGH ROAD,2018
21063,4,BADAR PUR,279/337 IPC,03-Jan-18,TEMPO,PED,NEAR DISPENCERY BADARPUR,MATHURA ROAD,2018
21272,4,CHITRANJAN PARK,279/337 IPC,04-Jan-20,PVT CAR,PED,INF CR PARK NEW DELHI,MINOR ROADS,2020
21341,4,DR AMBEDKAR NAGAR,279/338 IPC,03-Jan-16,PVT CAR,PED,INF CHIRAG DELHI VILLAGE AMB D,MINOR ROADS,2016
21377,4,DR AMBEDKAR NAGAR,279/337 IPC,04-Jan-17,UNKNOWN,PED,NR BANKE BIHARI HOTEL,MINOR ROADS,2017
22860,4,OKHLA,279/337 IPC,03-Jan-16,UNKNOWN,TWW,NR ESI HOSPITAL RED LIGHT DELH,ANAND MAI MARG,2016
22938,4,OKHLA,279/304 A IPC,07-Jan-17,HTV/GDS,TSR,INF CROWN PLAZA HOTEL RED LIGH,ANAND MAI MARG,2017
23016,4,OKHLA,279/337 IPC,03-Jan-18,MIN.BUS,TWW,CROWN PLAZA RED LIGHT OKHLA PH,MINOR ROADS,2018
23146,4,OKHLA,279/337 IPC,06-Jan-20,UNKNOWN,PED,NR CROWN PLAZA OKHLA,MINOR ROADS,2020
23380,4,PUL PRAHLAD PUR,279/337 IPC,03-Jan-18,PVT CAR,CAR,SHOOTING RANGE MB RD DELHI,MEHRAULI BADARPUR RD,2018
23701,4,SARITA VIHAR,279/304 A IPC,05-Jan-19,HTV/GDS,TWW,APOLO HOSPTAL RED LIGHT,MATHURA ROAD,2019
23866,4,SHAHEEN BAGH,279/337 IPC,08-Jan-19,PVT CAR,TMP,ABDUL FAZAL ENCLAVE,MINOR ROADS,2019
24193,4,TIGRI,279/337 IPC,07-Jan-19,S/C&M/C,PED,T POINT MANGALBAZAR ROAD,MEHRAULI BADARPUR RD,2019
24264,4,BABA HARIDAS NAGAR,279/337 IPC,06-Jan-17,PVT CAR,TWW,INFT CRPF CAMP,JHARODA ROAD,2017
25019,4,JAFFAR PUR,279/337 IPC,04-Jan-20,UNKNOWN,PED,VILL MUNDELA GAON STADIUM,MINOR ROADS,2020
25323,4,KAPASHERA,279/337/304 A IPC,05-Jan-20,UNKNOWN,TWW,BIJWASAN FLYOVER,BIJWASAN ROAD,2020
25405,4,NAJAFGARH,279/304 A IPC,03-Jan-16,CTR BUS,TWW,UTTAM NGR RD DELHI GATE OP VIN,MINOR ROADS,2016
25643,4,TILAK NAGAR,279/337 IPC,04-Jan-17,UNKNOWN,PED,TILAK NAGAR UNDER FLYOVER,NAJAF GARH ROAD,2017
25712,4,TILAK NAGAR,279/304 A IPC,03-Jan-19,PVT CAR,HDC,"INF VOHRA TENT HOUSE, LALA GAN",MINOR ROADS,2019
25766,4,UTTAM NAGAR,279/337 IPC,02-Jan-16,PVT CAR,TWW,BABA WAL PUL NR KAKROLA PUL,MINOR ROADS,2016
25812,4,UTTAM NAGAR,279/337 IPC,03-Jan-17,S/C&M/C,PED,UNDER EAST METRO STATION,NAJAF GARH ROAD,2017
25919,4,UTTAM NAGAR,279/337 IPC,01-Jan-19,PVT CAR,PED,DDA FLATS SERVICE ROAD TANEJA,MINOR ROADS,2019
27577,4,MIANWALI,279/337 IPC,01-Jan-16,HTV/GDS,TWW,INF NAGIN LAKE APPT PASC VIHAR,OUTER RING ROAD,2016
28198,4,MUNDKA,279/304 A IPC,03-Jan-19,UNKNOWN,PED,"METRO P.NO 719, TIKRI KALAN",ROHTAK ROAD,2019
