S. no.,FIR No.,Police station,Date of crash ,Time of crash (24 hr format),Responsible road user,Victim user type (as per Delhi Traffic Police),Pedestrian Injured ,Pedestrian killed,MTW Injured,MTW killed,Other vehicle type involved,Injured (other vehicle),Fatalities (other vehicle),Age (killed 1),Gender (killed 1),Road user type (killed 1),Age (killed 2),Gender (killed 2),Road user type (killed 2),Age (killed 3),Gender (killed 3),Road user type (killed 2),Responsible road user Age,Responsible road user Gender,Place of occurrence,Road name,Geocordinates (Latitude),Geocordinates (longitude),Total injured,Total killed,If offending vehicle is Unknown Reason unknown; eg: hit and run
106,342,GAJI PUR,03-Sep-20,18:00,UNKNOWN,TWW,0,0,0,1,,0,0,47,Male,Driver,,,,,,,,,INF CRPF CAMP BUS STOP TWDS KH,MINOR ROADS,28.608827,77.336248,0,1,Hit and run
107,393,GAJI PUR,12-Oct-20,14:38,UNKNOWN,TWW,0,0,0,1,,0,0,56,Male,Driver,,,,,,,,,GAJIPUR UNDER PASS NR VIVEK DH,NH-24,28.62702,77.31759,0,1,Hit and run
108,417,GAJI PUR,01-Nov-20,01:05,Car/ Jeep/ Van/ Taxi,Self,0,0,1,1,,0,0,18,Male,Driver,,,,,,,,,LABOUR CHOWK NR SAFED PARK,MINOR ROADS,28.610653,77.335338,1,1,
109,517,GAJI PUR,13-Dec-20,20:15,Motorised two wheeler,Pedestrians,0,0,0,1,,0,0,35,Male,Self,,,,,,,,,NR VIVEK DHARMA KANTA GAZIPUR,56 NO ROAD,28.625343,77.318847,0,1,
110,268,GANDHI NAGAR,18-Jun-20,23:26,UNKNOWN,Pedestrians,0,1,0,0,,0,0,50,Male,Pedestrian,,,,,,,,,SHAMSHAN GHAT PUSTA ROAD,PUSA ROAD,28.655578,77.263984,0,1,Hit and run
111,320,GANDHI NAGAR,29-Aug-20,00:30,UNKNOWN,TWW,0,1,0,0,,0,0,35,Male,Pedestrian,,,,,,,,,NR IRON BRIDGE INF SONIA GANDH,YAMUNA PUSTA ROAD,28.665214,77.252863,0,1,Hit and run
112,7,GEETA COLONY,08-Jan-20,14:45,UNKNOWN,TMP,0,0,0,1,,0,0,28,Male,Driver,,,,,,,,,GEETA COLONY FLYOVER,YAMUNA PUSTA ROAD,28.651036,77.266655,0,1,Hit and run
113,35,GEETA COLONY,30-Jan-20,15:00,Tempo/ Tractor,Self,0,0,0,0,Tempo/ Tractor,0,1,35,Male,Driver,,,,,,,30,Male,INF NALA RD SHASTRI NGR GEETA,MINOR ROADS,28.643633,77.270498,0,1,
114,53,GEETA COLONY,15-Feb-20,00:40,Motorised two wheeler,Self,0,0,0,2,,0,0,25,Male,Driver,25,Male,Passenger,,,,,,NR RANI GARDEN CUT GEETA COLON,MINOR ROADS,28.649495,77.268389,0,2,
115,67,GEETA COLONY,05-Mar-20,01:15,Auto-rickshaw- TSR,TWW,0,0,0,0,Auto-rickshaw,0,1,55,Male,Self,,,,,,,,,NR AK MALIK TOUR AND TRAVELS,MINOR ROADS,28.645532,77.277568,0,1,
116,388,GEETA COLONY,03-Aug-20,12:00,Car/ Jeep/ Van/ Taxi,Pedestrians,0,0,1,1,,0,0,42,Female,Passenger,,,,,,,,Male,U-TURN GEETA COLONY PUSTA RD,MINOR ROADS,28.644547,77.269174,1,1,
117,497,GEETA COLONY,14-Oct-20,Unknown,UNKNOWN,TWW,0,1,0,0,,0,0,,Male,Pedestrian,,,,,,,,,NR TAJ ENCLAVE CUT GEETA COLON,YAMUNA PUSTA ROAD,28.652615,77.266432,0,1,Hit and run
118,512,GEETA COLONY,27-Oct-20,18:06,Motorised two wheeler,Pedestrians,0,0,0,1,,0,0,45,Male,Self,,,,,,,,,B-510 JHEEL SABZI MANDI,MINOR ROADS,28.654907,77.268377,0,1,
119,10,JAGAT PURI,08-Jan-20,00:41,UNKNOWN,TWW,0,1,0,0,,0,0,25,Male,Pedestrian,,,,,,,,,INF STATE CORPORATION BANK,PATPAR GANJ ROAD,28.649333,77.278949,0,1,Hit and run
120,107,JAGAT PURI,25-Apr-20,10:40,Heavy vehicles,TWW,0,0,0,1,,0,0,45,Male,Driver,,,,,,,,Male,CHANDER NAGAR NR UNION BANK AN,MINOR ROADS,28.649541,77.27702,0,1,
121,251,JAGAT PURI,14-Oct-20,22:55,Car/ Jeep/ Van/ Taxi,Pedestrians,0,0,0,1,,0,0,66,Male,Driver,,,,,,,23,Male,INF JEET RESTAURENT,MINOR ROADS,28.654924,77.282099,0,1,
122,11,KALYAN PURI,05-Jan-20,22:00,UNKNOWN,Self,0,1,0,0,,0,0,23,Male,Pedestrian,,,,,,,,,NEAR KONDLI PULL TRILOKPURI,MINOR ROADS,28.598917,77.299458,0,1,Hit and run
123,80,KALYAN PURI,19-Feb-20,01:40,Tempo/ Tractor,Pedestrians,0,1,0,0,,0,0,34,Male,Pedestrian,,,,,,,,Male,GAZIPUR PUR FLYOVER,NH-24,28.62765,77.318229,0,1,
124,85,KALYAN PURI,23-Feb-20,06:50,Motorised two wheeler,Pedestrians,0,1,0,0,,0,0,56,Male,Pedestrian,,,,,,,26,Male,NR CHAND CINEMA KALYAN PURI,KOTLA ROAD,28.612865,77.312137,0,1,
125,97,KALYAN PURI,06-Mar-20,00:00,UNKNOWN,TWW,0,1,0,0,,0,0,,Male,Pedestrian,,,,,,,,,KHICHRI PUR FLYOVER,NH-24,28.627042,77.316659,0,1,Hit and run
126,282,KALYAN PURI,10-Jul-20,17:35,Tempo/ Tractor,Pedestrians,0,0,1,1,,0,0,,Male,,,,,,,,,Male,SLIP ROAD NH 9,HAPUR BYPASS ROAD,28.627524,77.317222,1,1,
127,367,KALYAN PURI,10-Sep-20,00:57,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,Male,Pedestrian,,,,,,,,,MEERUT RD,NH-24,28.61535,77.284421,0,1,Hit and run
128,449,KALYAN PURI,01-Nov-20,01:10,Motorised two wheeler,Car,0,1,0,0,,0,0,30,Male,Pedestrian,,,,,,,,Male,GAZIPUR FLY OVER,NH-24,28.62765,77.318229,0,1,
129,465,KALYAN PURI,08-Nov-20,23:30,Heavy vehicles,Pedestrians,0,0,0,0,Car/ Jeep/ Van/ Taxi,3,1,30,Male,Driver,,,,,,,,Male,NR KHICHRIPUR SLIP ROAD,MINOR ROADS,28.626785,77.316785,3,1,
130,524,KALYAN PURI,14-Nov-20,Unknown,UNKNOWN,TWW,0,1,0,0,,0,0,23,Male,Pedestrian,,,,,,,,,KALYAN PURI AREA,MINOR ROADS,28.626785,77.316785,0,1,Hit and run
131,74,KRISHNA NAGAR,16-Feb-20,08:45,UNKNOWN,Pedestrians,0,0,0,1,,0,0,45,Male,Driver,,,,,,,,,R/L BIKANERWALA SWARN CINEMA,57 NO ROAD,28.662682,77.286317,0,1,Hit and run
132,378,KRISHNA NAGAR,31-Jul-20,21:40,Motorised two wheeler,Self,0,1,1,0,,0,0,45,Male,Pedestrian,,,,,,,,,NR BUS STOP BIHARI COL.,57 NO ROAD,28.671398,77.28092,1,1,
133,387,KRISHNA NAGAR,06-Aug-20,12:30,Motorised two wheeler,Pedestrians,0,0,0,1,,0,0,45,Female,Passenger,,,,,,,,,AJEET CHOWK AZADNAGAR,MINOR ROADS,28.665427,77.284039,0,1,
134,482,KRISHNA NAGAR,19-Oct-20,22:30,Motorised two wheeler,Pedestrians,0,1,0,0,,0,0,22,Male,Pedestrian,,,,,,,22,Male,PILLER NO118 METRO ST,MINOR ROADS,28.664632,77.284678,0,1,
135,17,LAXMI NAGAR (SHAKAR PUR),12-Jan-20,00:00,Auto-rickshaw- TSR,Pedestrians,0,1,0,0,,0,0,55,Male,Pedestrian,,,,,,,,Male,LAXMI NGR TO GANESH NGR,MINOR ROADS,28.629242,77.277498,0,1,
136,269,LAXMI NAGAR (SHAKAR PUR),21-May-20,08:00,Car/ Jeep/ Van/ Taxi,TWW,0,1,0,0,,0,0,60,Female,Pedestrian,,,,,,,,,LALITA PARK BUS STAND,MINOR ROADS,28.631833,77.271042,0,1,
137,353,LAXMI NAGAR (SHAKAR PUR),07-Jun-20,11:10,UNKNOWN,Pedestrians,0,0,1,1,,0,0,29,Male,Driver,,,,,,,,,"PUSTA RD NR GEETA COL CUT, LAL",MINOR ROADS,28.631147,77.271588,1,1,Hit and run
138,428,LAXMI NAGAR (SHAKAR PUR),15-Sep-20,08:00,Motorised two wheeler,TWW,0,0,0,1,,0,0,59,Female,Passenger,,,,,,,,Male,NR SHAKARPUR POLICE STN R/L,YAMUNA PUSTA ROAD,28.63806,77.26966,0,1,
139,30,MANDAWLI,01-Feb-20,23:06,UNKNOWN,Pedestrians,0,0,0,1,,0,0,45,Male,Driver,,,,,,,,,"INF DEEN DAYAL SWEETS 277,",MINOR ROADS,28.626611,77.29129,0,1,Hit and run
140,191,MANDAWLI,01-May-20,20:15,Car/ Jeep/ Van/ Taxi,TWW,0,1,0,0,,0,0,49,Male,Pedestrian,,,,,,,35,Male,TWDS MOTHER DAIRY DWN FLYOVER,PATPAR GANJ ROAD,28.623185,77.283724,0,1,
141,395,MANDAWLI,22-Sep-20,02:00,Tempo/ Tractor,Pedestrians,0,0,1,1,Heavy vehicles,2,0,50,Male,Driver,,,,,,,,Male,SOUTH GANESH NGR PULIYA TWD MO,MINOR ROADS,28.623358,77.2833,3,1,
142,413,MANDAWLI,08-Oct-20,18:00,UNKNOWN,TWW,0,1,0,0,,0,0,60,Male,Pedestrian,,,,,,,,,INF PANDAV NAGAR DUSRI RD,MINOR ROADS,28.620225,77.284564,0,1,Hit and run
143,347,MAYUR VIHAR,02-Jul-20,21:48,UNKNOWN,Self,0,0,0,1,,0,0,36,Male,Driver,,,,,,,,,ASHRAM TO MAYUR VIHAR NR TOLL,NOIDA ROAD,28.576667,77.286836,0,1,Hit and run
144,353,MAYUR VIHAR,08-Jul-20,18:33,Motorised two wheeler,Pedestrians,0,1,1,0,,0,0,20,Female,Pedestrian,,,,,,,,Male,NEAR MAYUR VIHAR METRO STN,NOIDA LINK ROAD,28.603633,77.288719,1,1,
145,591,MAYUR VIHAR,04-Dec-20,Unknown,Bus,PAS,0,1,0,0,,0,0,,,Pedestrian,,,,,,,,Male,NR BUS STOP MAYUR VIHAR,NOIDA LINK ROAD,28.604018,77.28869,0,1,
146,39,NEW ASHOK NAGAR,18-Jan-20,09:30,Bus,Self,0,0,0,0,Bus,0,1,70,Male,Passenger,,,,,,,,Male,"DALLUPUR MORE, NR TIMBER MKT",MINOR ROADS,28.606454,77.321509,0,1,
147,98,NEW ASHOK NAGAR,06-Mar-20,12:00,Car/ Jeep/ Van/ Taxi,Pedestrians,0,0,0,0,Car/ Jeep/ Van/ Taxi,0,1,17,Male,Driver,,,,,,,17,Male,SHANI BAZAR RD VARDHMAN PLAZA,MINOR ROADS,28.600997,77.319933,0,1,
148,191,NEW ASHOK NAGAR,15-Apr-20,22:00,Car/ Jeep/ Van/ Taxi,TWW,2,1,0,0,,0,0,,Male,Pedestrian,,,,,,,35,Male,INF KHOSLA MARKET NEW ASHOK NA,MINOR ROADS,28.600268,77.316496,2,1,
149,383,NEW ASHOK NAGAR,22-Aug-20,01:45,UNKNOWN,Pedestrians,0,0,0,1,,0,0,,Male,Driver,,,,,,,,,VASHUNDRA PLAZA MKT KE SAMNE,MINOR ROADS,28.600997,77.319933,0,1,Hit and run
150,26,PANDAV NAGAR,14-Jan-20,19:30,UNKNOWN,Pedestrians,0,1,0,0,,0,0,56,Male,Pedestrian,,,,,,,,,DND FLYOVER NH-9 NR YAMUNA BRI,HAPUR BYPASS ROAD,28.627524,77.317222,0,1,Hit and run
151,29,PANDAV NAGAR,18-Jan-20,Unknown,UNKNOWN,Pedestrians,0,1,0,0,,0,0,45,Male,Pedestrian,,,,,,,,,NR METRO STN MV PH-II,MINOR ROADS,28.619987,77.304778,0,1,Hit and run
152,58,PANDAV NAGAR,12-Feb-20,19:30,UNKNOWN,TWW,0,1,0,0,,0,0,,Male,Pedestrian,,,,,,,,,UNDER AKSHARDHAM SETU,NH-24,28.613492,77.282468,0,1,Hit and run
153,79,PANDAV NAGAR,24-Feb-20,01:50,UNKNOWN,Ambulance,0,0,0,1,,0,0,22,Male,Driver,,,,,,,,,KHEL GAON FLYOVER KE UPER,NH-24,28.606451,77.274609,0,1,Hit and run
154,92,PANDAV NAGAR,05-Mar-20,04:38,Car/ Jeep/ Van/ Taxi,TWW,0,0,0,0,Other,2,1,,Male,,,,,,,,,,OPP SANJAY JHEEL TWDS DELHI,HAPUR BYPASS ROAD,28.618075,77.290067,2,1,
155,337,PANDAV NAGAR,18-Jul-20,22:40,Tempo/ Tractor,TWW,0,0,0,1,,0,0,55,Male,Driver,,,,,,,,,UNDER KHEL GAON FLYOVER,HAPUR BYPASS ROAD,28.606194,77.275097,0,1,
156,393,PANDAV NAGAR,22-Aug-20,13:15,Bus,Pedestrians,0,0,0,1,,0,0,,Male,Driver,,,,,,,,Male,POCKET 5 MAYUR VIHAR PH 1 GATE,KOTLA ROAD,28.613713,77.293737,0,1,
157,451,PANDAV NAGAR,02-Oct-20,16:25,Car/ Jeep/ Van/ Taxi,TWW,0,1,0,0,,0,0,60,Female,Pedestrian,,,,,,,,,NR AKSHARDHAM MANDIR,NH-24,28.616998,77.280546,0,1,
158,463,PANDAV NAGAR,11-Oct-20,Unknown,Car/ Jeep/ Van/ Taxi,TWW,0,0,0,1,,0,0,,,,,,,,,,,,TWDS SARAI KALE KHAN UNDER AKS,NH-24,28.613289,77.282922,0,1,
159,14,PATPARGANJ IND. AREA,12-Jan-20,23:30,Heavy vehicles,Pedestrians,0,0,0,1,,0,0,27,Male,Driver,,,,,,,25,Male,GAZIPUR SABZI MANDI CUT,HAPUR BYPASS ROAD,28.630179,77.325019,0,1,
160,52,PATPARGANJ IND. AREA,03-Mar-20,00:53,UNKNOWN,TWW,1,1,0,0,,0,0,,Male,Pedestrian,,,,,,,,,NEAR UNDERPASS ANAND VIHAR,56 NO ROAD,28.639742,77.314725,1,1,Hit and run
161,53,PATPARGANJ IND. AREA,03-Mar-20,04:20,Heavy vehicles,TWW,0,0,1,1,,0,0,,Male,,,,,,,,,,TELCO T POINT,56 NO ROAD,28.64099,77.31588,1,1,
162,88,PREET VIHAR,05-May-20,Unknown,UNKNOWN,TWW,0,0,0,1,,0,0,,,,,,,,,,,,KARKARI MORE RED LIGHT UNDER F,VIKAS MARG,28.644096,77.298573,0,1,Hit and run
163,2,SHAKAR PUR (NEW),02-Jan-20,17:00,Auto-rickshaw- TSR,Pedestrians,0,0,0,1,,0,0,65,Male,Driver,,,,,,,,Male,NR YAMUNA B ANK METRO DEPO SHA,YAMUNA PUSTA ROAD,28.625577,77.275065,0,1,
164,31,SHAKAR PUR (NEW),21-Jan-20,21:10,UNKNOWN,Pedestrians,0,0,0,1,,0,0,30,Male,Driver,,,,,,,,,NR VIKAS MARG AKSHRDHAM MANDIR,VIKAS MARG,28.617037,77.280722,0,1,Hit and run
165,266,SHAKAR PUR (NEW),22-Jun-20,00:00,UNKNOWN,TWW,0,1,0,0,,0,0,35,Female,Pedestrian,,,,,,,,,VIKAS MARG TO AKSHARDHAM,MINOR ROADS,28.616824,77.280406,0,1,Hit and run
166,355,SHAKAR PUR (NEW),23-Aug-20,Unknown,UNKNOWN,Pedestrians,0,0,0,1,,0,0,70,Male,Driver,,,,,,,,,GEETA COLONY LOOP,VIKAS MARG,28.628121,77.271571,0,1,Hit and run
167,470,SHAKAR PUR (NEW),07-Nov-20,Unknown,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,,Pedestrian,,,,,,,,,NR HEERA SWEET PICKET,VIKAS MARG,28.633608,77.281905,0,1,Hit and run
168,41,VIVEK VIHAR,25-Jan-20,06:38,UNKNOWN,ERC,0,1,0,0,,0,0,45,Female,Pedestrian,,,,,,,,,A BLOCK VERMA JEWELLRS,MINOR ROADS,28.671029,77.321682,0,1,Hit and run
169,50,VIVEK VIHAR,10-Feb-20,07:30,Car/ Jeep/ Van/ Taxi,TWW,0,0,0,0,Other,0,1,55,Male,Driver,,,,,,,,,INDRA PARK JAWALA NAGAR,SWAMI DAYANAND MARG,28.670006,77.298954,0,1,
170,121,VIVEK VIHAR,20-Apr-20,09:30,Heavy vehicles,TWW,0,0,0,1,,0,0,40,Male,Driver,,,,,,,45,Male,NR KASTURBA NAGAR RED LIGHT,MINOR ROADS,28.669591,77.303513,0,1,
171,134,VIVEK VIHAR,13-May-20,21:30,Heavy vehicles,Car,0,0,0,1,,0,0,22,Male,Driver,,,,,,,33,Male,NR THANA VIVEK VIHAR,71 NO ROAD,28.666692,77.30694,0,1,
172,230,VIVEK VIHAR,29-Aug-20,02:00,Car/ Jeep/ Van/ Taxi,Pedestrians,0,0,0,0,Car/ Jeep/ Van/ Taxi,0,1,42,Male,Passenger,,,,,,,26,Male,VIVEKANAND COLLEGE RED LIGHT,71 NO ROAD,28.665257,77.315077,0,1,
173,250,VIVEK VIHAR,17-Sep-20,01:50,Motorised two wheeler,Self,0,1,1,0,,0,0,65,Male,Pedestrian,,,,,,,32,Male,LEELA HOTEL KARKARDOOMA ROAD,58 NO ROAD,28.661701,77.303343,1,1,
174,278,VIVEK VIHAR,15-Oct-20,02:16,Motorised two wheeler,TSR,0,0,0,2,,0,0,30,Male,Driver,30,Male,Passenger,,,,,,NR RAMPRASTA RED LIGHT,56 NO ROAD,28.659783,77.31388,0,2,
175,349,VIVEK VIHAR,21-Dec-20,23:00,Tempo/ Tractor,Pedestrians,0,0,0,0,Auto-rickshaw,2,1,,Male,Passenger,,,,,,,22,Male,NR RAMPRASTH RED LIGHT,56 NO ROAD,28.659783,77.31388,2,1,
176,350,VIVEK VIHAR,23-Dec-20,19:00,Motorised two wheeler,TWW,0,1,1,0,,0,0,,Male,Pedestrian,,,,,,,34,Male,NR DEEPAK PETROL PUMP VIVEK VI,56 NO ROAD,28.676188,77.316011,1,1,
177,3,CHANAKYA PURI,17-Jan-20,02:10,Car/ Jeep/ Van/ Taxi,Pedestrians,0,0,0,1,,0,0,24,Female,Passenger,,,,,,,,,SP MARG CROSSING,SARDAR PATEL MARG,28.601965,77.180748,0,1,
178,8,CHANAKYA PURI,10-Feb-20,08:00,UNKNOWN,Cyclists,0,1,0,0,,0,0,,Female,Pedestrian,,,,,,,,,INF FIRE STATION,KAUTILYA MARG,28.60307,77.191026,0,1,Hit and run
179,47,CHANAKYA PURI,28-May-20,20:00,Car/ Jeep/ Van/ Taxi,TWW,0,0,1,0,Bicycle,1,1,,Male,Cyclist,,,,,,,,Male,INF TAJ HOTEL CHANKYA PURI,SARDAR PATEL MARG,28.59583,77.169109,2,1,
180,62,CHANAKYA PURI,04-Aug-20,15:00,Tempo/ Tractor,TWW,0,0,0,1,,0,0,29,Male,Driver,,,,,,,,Male,R/A TEEN MURTI OPP KOTHI NO 7,TEEN MURTI MARG,28.602702,77.202328,0,1,
181,91,CHANAKYA PURI,01-Nov-20,19:42,UNKNOWN,TWW,0,0,0,1,,0,0,,Male,Driver,,,,,,,,,ITC MAURYA HOTEL,SARDAR PATEL MARG,28.598059,77.173347,0,1,Hit and run
182,92,CHANAKYA PURI,04-Nov-20,08:00,UNKNOWN,TWW,0,0,0,1,,0,0,45,Male,Driver,,,,,,,,,"INF GATE NO 3, BUDHA JAYANTI",RIDGE ROAD,28.614463,77.174907,0,1,Hit and run
183,91,CONNAUGHT PLACE,06-Dec-20,22:20,Car/ Jeep/ Van/ Taxi,TWW,0,0,0,1,,0,0,53,Male,Driver,,,,,,,30,Male,JANPATH TOLSTOY XING R/L,JANPATH,28.626293,77.219243,0,1,
184,2,MANDIR MARG,04-Jan-20,01:00,Car/ Jeep/ Van/ Taxi,TWW,0,0,1,1,,0,0,27,Male,Driver,,,,,,,,Male,BANGLA SWEET HOUSE R/A,BANGLA SAHIB MARG,28.633558,77.208553,1,1,
185,53,MANDIR MARG,09-Jun-20,06:55,Car/ Jeep/ Van/ Taxi,TWW,0,0,1,1,,0,0,58,Male,Driver,,,,,,,,,R/A GPO NR ASHOKA ROAD,MINOR ROADS,28.626376,77.206724,1,1,
186,56,MANDIR MARG,14-Jun-20,16:45,UNKNOWN,Pedestrians,0,0,0,1,,0,0,35,Male,Driver,,,,,,,,,GOLE DAK KHANA GOLE CHAKKAR,BABA KHARAK SINGH MG,28.626554,77.205856,0,1,Hit and run
187,125,MANDIR MARG,12-Oct-20,09:00,UNKNOWN,TWW,0,1,0,0,,0,0,,Male,Pedestrian,,,,,,,,,GOLE CHAKKAR RIDGE RD SHANKAR,SHANKAR ROAD,28.629835,77.190832,0,1,Hit and run
188,132,MANDIR MARG,06-Nov-20,01:50,UNKNOWN,Pedestrians,0,0,1,1,,0,0,,Male,Driver,,,,,,,,,PASWA ROAD T-POINT,MINOR ROADS,28.635901,77.2018,1,1,Hit and run
189,158,MANDIR MARG,04-Dec-20,00:00,UNKNOWN,TWW,0,1,0,0,,0,0,41,Male,Pedestrian,,,,,,,,,RIDGE ROAD DELHI,RIDGE ROAD,28.614463,77.174907,0,1,Hit and run
190,173,MANDIR MARG,27-Dec-20,05:30,Car/ Jeep/ Van/ Taxi,Pedestrians,0,0,0,1,,0,0,27,Male,Driver,,,,,,,25,Male,NR RED LIGHT RAMNATH TWDS KARO,MINOR ROADS,28.641008,77.204948,0,1,
191,8,NORTH AVENUE,06-Mar-20,19:30,UNKNOWN,Pedestrians,0,1,0,0,,0,0,55,Male,Pedestrian,,,,,,,,,GOLE DAK KHANA BKS MARG,BABA KHARAK SINGH MG,28.626554,77.205856,0,1,Hit and run
192,38,NORTH AVENUE,12-Sep-20,20:45,Bus,Pedestrians,0,1,0,0,,0,0,19,Male,Pedestrian,,,,,,,,,INF OF GATE GURUDWARW RAKAB G,PANT MARG,28.62065,77.206639,0,1,
193,45,NORTH AVENUE,26-Sep-20,00:00,UNKNOWN,Pedestrians,0,1,0,0,,0,0,47,Male,Pedestrian,,,,,,,,,BKS MARG NEW DELHI,MINOR ROADS,28.624211,77.200478,0,1,Hit and run
194,52,NORTH AVENUE,03-Nov-20,18:00,UNKNOWN,Pedestrians,0,1,0,0,,0,0,65,Male,Pedestrian,,,,,,,,,NR GURUDWARA RAKABGANJ,PANT MARG,28.62065,77.206639,0,1,Hit and run
195,1,PARLIAMENT STREET,03-Jan-20,06:40,Bus,PAS,0,1,0,0,,0,0,60,Male,Pedestrian,,,,,,,,Male,PATEL CHOWK ROUND ABOUT,ASHOKA ROAD,28.623762,77.212518,0,1,
196,13,PARLIAMENT STREET,18-Feb-20,21:30,Bus,TWW,0,0,0,0,Bus,0,1,32,Male,Passenger,,,,,,,,,INF VP HOUSE RAFI MARG NEW DEL,RAFI MARG,28.620322,77.212586,0,1,
197,2,TILAK MARG,02-Jan-20,06:25,Bus,Pedestrians,0,0,0,1,,0,0,,Male,Driver,,,,,,,23,Male,W POINT NR PRAGATI MAIDAN METR,MINOR ROADS,28.625648,77.240004,0,1,
198,6,TILAK MARG,01-Feb-20,22:30,UNKNOWN,Pedestrians,0,0,0,1,,0,0,,Male,Driver,,,,,,,,,"MODREN ART GALLERY, GATE NO1",C-HEXAGON,28.610657,77.233849,0,1,Hit and run
199,78,TILAK MARG,11-Oct-20,02:14,Auto-rickshaw- TSR,Self,0,1,0,0,Auto-rickshaw,1,0,,Male,Pedestrian,,,,,,,,,JAISALMER HOUSE MAN SINGH RD,MAN SINGH ROAD,28.608083,77.224504,1,1,
200,79,TILAK MARG,13-Oct-20,09:45,Auto-rickshaw- TSR,Pedestrians,0,0,0,0,Auto-rickshaw,0,1,50,Male,Self,,,,,,,,,NR C HEXAGON INDIA GATE PANDAR,PANDARA ROAD,28.609564,77.230325,0,1,
201,109,TILAK MARG,21-Dec-20,01:30,UNKNOWN,TWW,0,1,0,0,,0,0,,Male,Pedestrian,,,,,,,,,OPP NATIONAL STASDIUM,C-HEXAGON,28.614039,77.234679,0,1,Hit and run
202,35,TUGLAK ROAD,27-Apr-20,16:20,Car/ Jeep/ Van/ Taxi,TWW,0,0,0,1,,0,0,52,Male,Driver,,,,,,,,,ZAKIR HUSAIN MG RED LIGHT SBM,MINOR ROADS,28.597973,77.212033,0,1,
203,55,TUGLAK ROAD,02-Aug-20,15:33,Tempo/ Tractor,Car,0,0,1,1,,0,0,,Male,Driver,,,,,,,,Male,TUGLAK LINE CROSSING,TUGLAK ROAD,28.592798,77.212546,1,1,
204,57,TUGLAK ROAD,27-Aug-20,08:00,UNKNOWN,TWW,0,0,0,0,Car/ Jeep/ Van/ Taxi,0,1,38,Male,Driver,,,,,,,,,NR KOTHI NO 2 AKBAR ROAD,AKBAR ROAD,28.60132,77.205436,0,1,Hit and run
205,21,BARA HINDU RAO,05-Mar-20,20:00,UNKNOWN,Self,0,0,1,1,,0,0,41,Female,Passenger,,,,,,,,,AZAM MKT COWK TOWDS,MINOR ROADS,28.664209,77.207705,1,1,Hit and run
206,8,CIVIL LINES,15-Jan-20,06:50,Motorised two wheeler,TWW,0,0,0,1,,0,0,30,Male,Driver,,,,,,,,,CNG PUMP CHANDGI RAM AKHARA,OUTER RING ROAD,28.680712,77.229342,0,1,
207,10,CIVIL LINES,15-Jan-20,22:00,UNKNOWN,Pedestrians,0,0,0,1,,0,0,31,Male,Driver,,,,,,,,,INF DIALOGUE COMMISSION KHAIBA,RING ROAD BYPASS,28.682821,77.222386,0,1,Hit and run
208,40,CIVIL LINES,27-Feb-20,23:30,UNKNOWN,Cyclists,0,1,0,0,,0,0,30,Male,Pedestrian,,,,,,,,,GEETA GHAT MONESTRY MKT,RING ROAD BYPASS,28.673523,77.230989,0,1,Hit and run
209,48,CIVIL LINES,09-Mar-20,09:00,Bus,Self,0,0,0,0,Bicycle,0,1,35,Male,Cyclist,,,,,,,,Male,KHYBER PASS R/L CIVIL LINE,RING ROAD BYPASS,28.692275,77.22107,0,1,
210,51,CIVIL LINES,10-Mar-20,17:30,Motorised two wheeler,Self,0,0,1,1,,0,0,30,Male,Self,,,,,,,,,NR BABA NEEM KAROLI MANDIR CIV,RING ROAD BYPASS,28.673802,77.230677,1,1,
211,265,CIVIL LINES,20-Jun-20,06:30,Car/ Jeep/ Van/ Taxi,Cyclists,0,0,1,1,Car/ Jeep/ Van/ Taxi,1,0,35,Male,Driver,,,,,,,,,NR SHIV MANDIR MAJNU KA TILLA,DR. KB HEDGEWAR ROAD,28.710933,77.226651,2,1,
212,313,CIVIL LINES,29-Jul-20,12:10,Car/ Jeep/ Van/ Taxi,Pedestrians,0,0,0,0,Bicycle,0,1,24,Female,Cyclist,,,,,,,51,Male,NR SHIV MANDIR MAJJNU KA TILA,OUTER RING ROAD,28.710474,77.227195,0,1,
213,331,CIVIL LINES,18-Aug-20,22:15,UNKNOWN,TWW,0,1,0,0,,0,0,30,Male,Pedestrian,,,,,,,,,NR MONESTY MARKET SHASTRI PARK,OUTER RING ROAD,28.672624,77.231014,0,1,Hit and run
214,386,CIVIL LINES,18-Sep-20,11:47,Bus,TWW,0,0,1,1,,0,0,35,Male,Passenger,,,,,,,,Male,NR CNG PUMP OUTER RING RD CIVI,OUTER RING ROAD,28.680712,77.229342,1,1,
215,421,CIVIL LINES,13-Oct-20,00:05,UNKNOWN,TWW,0,0,0,1,,0,0,25,Male,Driver,,,,,,,,,MAJNU KA TILA R/L CHANDGIRAM A,OUTER RING ROAD,28.680712,77.229342,0,1,Hit and run
216,516,CIVIL LINES,22-Nov-20,06:00,Car/ Jeep/ Van/ Taxi,Self,0,0,0,1,,0,0,30,Male,Driver,,,,,,,35,Male,SANJAY AKHARA MAJNU KA TILA,OUTER RING ROAD,28.696669,77.227298,0,1,
